,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
13993,569680398185312256,positive,0.6825,,0.0,American,,bharris77,,0,@AmericanAir I'm booked for Tuesday night. 60 degrees in Alabama right now. I'm good. Stay warm and safe.,,2015-02-22 18:09:25 -0800,"Frisco, Texas",Central Time (US & Canada)
5443,569017002439761920,neutral,1.0,,,Southwest,,JohnDePetroshow,,0,@SouthwestAir at troubadour with @Imaginedragons .#DestinationDragons http://t.co/rKlQXXaWhc,,2015-02-20 22:13:19 -0800,"Rhode Island ,Mass,CT",Eastern Time (US & Canada)
12989,569966826639110147,negative,0.6817,Cancelled Flight,0.6817,American,,almarc44,,0,@AmericanAir hi there flight from Dallas just Cancelled Flightled going to LA. Can u pls help rebook me?,"[32.90431463, -97.03489789]",2015-02-23 13:07:35 -0800,,
9417,569944182011379712,negative,1.0,Flight Attendant Complaints,1.0,US Airways,,thomashoward88,,0,"@USAirways US 728 pilot started the flight by announcing arrival into Gatwick, not Heathrow. Moments of concern for all aboard.",,2015-02-23 11:37:36 -0800,,
4044,567853497435160577,negative,1.0,Late Flight,0.6559,United,,thunderbolt,,0,"@united fair enough, but it stinks to be the passenger on the plane that leaves the gate then sits on the tarmac for an hour before takeoff",,2015-02-17 17:09:58 -0800,OAK,Pacific Time (US & Canada)
11743,567782645975625729,negative,1.0,Flight Booking Problems,1.0,US Airways,,shoobe01,,0,"@usairways Yes. Works in Firefox. 

Can do everything but finish purchase. Button turns gray, never submits. For a couple weeks now.",,2015-02-17 12:28:26 -0800,"Mission, Kansas",
5889,568513003307429888,positive,0.6634,,,Southwest,,SamMurphy_17,,0,@SouthwestAir makes flying for @UNO_Baseball fun! Flight crew just led the plane in singing happy birthday to one of our guys! #LuvInTheAir,,2015-02-19 12:50:37 -0800,Omaha,Eastern Time (US & Canada)
6500,567814095626575873,neutral,0.6552,,0.0,Southwest,,ms__amandaaa,,0,@SouthwestAir iiiii need help with my flight schedule!!! haha,,2015-02-17 14:33:24 -0800,on the water☀,Eastern Time (US & Canada)
12851,570000805626949633,negative,1.0,Customer Service Issue,1.0,American,,mcconnell_km,,0,@AmericanAir it is absolutely unacceptable.  I have been calling all day and am hung up on every time. I just need a 5 minute bit of help!,,2015-02-23 15:22:36 -0800,Chicago!,Central Time (US & Canada)
6185,568148807684198401,positive,1.0,,,Southwest,,Neetz4,,0,@SouthwestAir thanks for the follow up. So glad to get my bag back.,,2015-02-18 12:43:26 -0800,Maryland,
11839,567730323988172800,positive,0.6718,,,US Airways,,ShiningLghtPE,,0,@USAirways will do. Hoping for a voucher for a future flight #Optimistic,,2015-02-17 09:00:31 -0800,"Pittsburgh, Pa",Eastern Time (US & Canada)
289,568850943359496192,negative,1.0,Bad Flight,0.6979,Virgin America,,AdamSinger,,0,@VirginAmerica soooo are you guys going to leave the seatbelt light on all flight? You can barely call this turbulence :-),"[0.0, 0.0]",2015-02-20 11:13:28 -0800,"San Francisco, CA",Central Time (US & Canada)
13852,569701189199089664,negative,1.0,Customer Service Issue,1.0,American,,JesseSheriff,,0,@AmericanAir My ex-boyfriend picks up my calls more than you do! #Cancelled Flightedflight #nocustomerservice #americanairlines #FAIL,,2015-02-22 19:32:02 -0800,West Palm Beach,Eastern Time (US & Canada)
579,570270918095695872,negative,0.66,Flight Booking Problems,0.3503,United,,discobiscuit63,,0,@united our travel booked thru United group dept. Okc ticket agent less than willing to help with our connection in LAX.,,2015-02-24 09:15:56 -0800,,Central Time (US & Canada)
11396,568142922031501312,negative,1.0,Customer Service Issue,0.6788,US Airways,,JuliaSayers,,0,@USAirways Can't get ahold of anyone to speak to about missing miles. It's been over a month since travel &amp; I've submitted twice online,,2015-02-18 12:20:02 -0800,"Birmingham, AL
",Quito
10552,569190606276333568,negative,1.0,Customer Service Issue,1.0,US Airways,,donnieberaskow,,0,@USAirways what happens if the flight takes off before we Cancelled Flight?? That's the issue. We don't want to pay because of your inaccessibility!,,2015-02-21 09:43:10 -0800,"Toronto, ON",Eastern Time (US & Canada)
2863,568858361011154944,negative,1.0,Flight Booking Problems,0.6591,United,,AMaxwellKerr,,2,@united refreshes my browser right before checkout.error load message. Ticket price increased $358 in a matter of sec. DoUNotWantMyBusiness?,,2015-02-20 11:42:56 -0800,,
13820,569709973963468801,negative,1.0,Cancelled Flight,1.0,American,,LaurenCSands,,0,"@AmericanAir next time my flight's Cancelled Flightled, I'd appreciate SOME indication (email, text, carrier pigeon). App didn't even warn at check in",,2015-02-22 20:06:57 -0800,,Central Time (US & Canada)
10682,568982821454245888,negative,1.0,Customer Service Issue,1.0,US Airways,,kidchorusteach,,0,@USAirways us air should be ashamed of this service - on hold for hours? No help from any representative just to reschedule due to weather ?,,2015-02-20 19:57:30 -0800,,Eastern Time (US & Canada)
3678,568189949415170048,negative,1.0,Lost Luggage,1.0,United,,mtezna,,0,"@united Not sure what happened @ MSP yesterday, but VERY UNHAPPY my bag was not only delayed, but sat at MSP for 8 hrs b4 delivery @ 2:30 am",,2015-02-18 15:26:55 -0800,Virginia,Eastern Time (US & Canada)
12939,569975650691330048,negative,1.0,Late Flight,0.6545,American,,MDTwankyTwank,,0,@AmericanAir @kanne822 @SouthwestAir is better than AA.,,2015-02-23 13:42:39 -0800,"Greenbow, Alabama",
4480,570215548589453313,neutral,1.0,,,Southwest,,joshkmm,,0,@SouthwestAir I urgently need two receipts sent but CS is closed. Can you help?,,2015-02-24 05:35:55 -0800,"Kansas City, KS",Central Time (US & Canada)
12925,569978312157589504,negative,1.0,Can't Tell,0.6781,American,,FNMacDougall,,0,"@AmericanAir I ended up emailing my #Complaint to customer.relations@aa.com, hope that works. #TravelProblems",,2015-02-23 13:53:13 -0800,"Los Angeles, CA",Pacific Time (US & Canada)
370,568458513636134913,negative,1.0,Customer Service Issue,1.0,Virgin America,,Matthewbenz,,0,@VirginAmerica your Avis rental continue button doesn't work on your website to book car. Tried 4 times on phone.  This sucks!,,2015-02-19 09:14:05 -0800,San Francisco,Pacific Time (US & Canada)
8061,568824366928039936,neutral,1.0,,,Delta,,bekahthornhill,,0,@JetBlue why don't you fly to #nashville? :(,,2015-02-20 09:27:51 -0800,"Austin, TX/NY, NY",Central Time (US & Canada)
10842,568829465788350464,negative,1.0,Can't Tell,0.3696,US Airways,,El_Doctor88,,0,@USAirways @AmericanAir How do I merge my miles accounts? Your sites tell me my info don't match even though I can't find a difference.,,2015-02-20 09:48:07 -0800,L.A.,Pacific Time (US & Canada)
9765,569676612851134464,neutral,1.0,,,US Airways,,miscgal,,0,@USAirways what happens to frequent flyer miles earned once merger is complete with AA?,,2015-02-22 17:54:23 -0800,,Tehran
6495,567817455234715649,negative,0.6803,Can't Tell,0.6803,Southwest,,ishboo3002,,0,@SouthwestAir Any plans to make the southwest app for Android not crappy?,,2015-02-17 14:46:45 -0800,"Tucson, AZ",Pacific Time (US & Canada)
6767,570291699731308545,negative,1.0,Flight Booking Problems,0.6833,Delta,,tahlia_simpson,,0,@JetBlue just wondering if the website is having issues today. Trying to book a flight with my visa I always use and its rejecting it.,,2015-02-24 10:38:31 -0800,,
1597,569649820798881792,negative,1.0,Late Flight,0.3516,United,,BrittanyWolgast,,0,@united -How is it that all my flight times were changed without any official notification? Almost missed my flight this morning. Not cool!,,2015-02-22 16:07:55 -0800,,Central Time (US & Canada)
7258,569723086465069056,negative,0.6632,Cancelled Flight,0.3474,Delta,,castellarin1126,,0,@JetBlue other jfk to Boston flights went off with some delay but not this.  #epicfail,,2015-02-22 20:59:03 -0800,,
14597,569593278636675072,negative,1.0,Late Flight,1.0,American,,otisday,,0,@AmericanAir @Stone9956 Do you dislike delays when they're caused by YOUR crew forgetting to load bags &amp; lazy pilot wanting duty day to end?,,2015-02-22 12:23:14 -0800,Pekin,Eastern Time (US & Canada)
6038,568425737092513792,positive,1.0,,,Southwest,,MJonTravel,,1,"@SouthwestAir - thanks to the agent boarding 1137, ATL-AUS. Left my wallet on the inbound. He found it for me!",,2015-02-19 07:03:51 -0800,ATL,Quito
2321,569259442547470336,negative,1.0,Flight Attendant Complaints,1.0,United,,jcharvardapp,,0,"@united cabin crew were huge offenders, stood as a conversational cluster blocking exiting passengers",,2015-02-21 14:16:42 -0800,,Atlantic Time (Canada)
595,570260118043914240,negative,1.0,Customer Service Issue,1.0,United,,throthra,,0,"@united why am I to believe they will help when customer service couldn't? Like I said, I want a number to someone who can fix what you did.",,2015-02-24 08:33:01 -0800,,
13215,569913274218622977,negative,1.0,Cancelled Flight,1.0,American,,KatieBLang,,0,@AmericanAir flight home Cancelled Flightled today.  Any way we can get another flight to NYC from Texas? 4 hour wait for a call back from airline,,2015-02-23 09:34:47 -0800,"Chicago, IL",Central Time (US & Canada)
12958,569973337050341376,negative,0.6578,Cancelled Flight,0.6578,American,,dustinpjones,,0,@AmericanAir my wife is stuck in #Brownsville any chance she can get any flight out? She needs to be at work tomorrow morning.,,2015-02-23 13:33:27 -0800,"Bartlesville, OK",Central Time (US & Canada)
14365,569626951733932032,negative,1.0,Late Flight,1.0,American,,macario2,,0,"@AmericanAir we are waiting flight 919 !
We are at JFK for about 24h !! #NewYork #919 #viracopos #AmericanAirlines http://t.co/3FheS0lPMU","[40.65062011, -73.79171323]",2015-02-22 14:37:03 -0800,Pocos de Caldas,Brasilia
9118,570208172289474560,negative,1.0,Late Flight,0.3666,US Airways,,peterbarth,,0,"@USAirways nope, they just announced we're headed back to the gate.",,2015-02-24 05:06:36 -0800,"Greenville, SC",Eastern Time (US & Canada)
3072,568735994838589441,negative,1.0,Late Flight,1.0,United,,tjhazzard,,0,@united #flightdelay on an early craft arrival because pilot is stuck in traffic #fail #nocustomerservice #nocompensation,,2015-02-20 03:36:42 -0800,"santa barbara, CA",Pacific Time (US & Canada)
14556,569600137296633856,positive,1.0,,,American,,douglaskgordon,,0,@AmericanAir Thank you.....you do the same!!,,2015-02-22 12:50:30 -0800,"Caribbean, New York and Miami.",Indiana (East)
11001,568626368373780481,negative,1.0,Customer Service Issue,1.0,US Airways,,Allisonjones704,,0,@USAirways we already spoke to someone several times about the matter and no one is sympathetic or will fly us home early complimentary.,,2015-02-19 20:21:05 -0800,,
14150,569661233923629056,negative,1.0,Customer Service Issue,1.0,American,,Gregm528,,0,@AmericanAir really? Not even worthy of a response. This is beginning of a social media alert to the world that AA and @USAirways are useles,,2015-02-22 16:53:16 -0800,NY,Eastern Time (US & Canada)
7302,569678787383857152,negative,1.0,Can't Tell,1.0,Delta,,cbogie,,0,@JetBlue ill call in the morning. too upset right now.,"[40.64797296, -73.77939249]",2015-02-22 18:03:01 -0800,indoors,Pacific Time (US & Canada)
6370,567912504656965632,positive,1.0,,,Southwest,,nick_manfredi,,0,@SouthwestAir @JohnWayneAir Thank you both very much!!,,2015-02-17 21:04:27 -0800,,Alaska
195,569282249717194754,negative,1.0,Cancelled Flight,1.0,Virgin America,,FiDiFamilies,,0,@VirginAmerica Because we never rec'd Cancelled Flightlation notice we were left w no options to fly out of PS. Driving to LA for a red eye Mon w kids,,2015-02-21 15:47:19 -0800,New York City ,Eastern Time (US & Canada)
9597,569848398129565696,negative,1.0,Lost Luggage,0.6609,US Airways,,klink1015,,0,"@USAirways first, luggage got stuck in a different city, now I get them back today &amp; one of your employees stole a pair of gloves from me!",,2015-02-23 05:17:00 -0800,New York,
11755,567777625344593920,negative,1.0,Customer Service Issue,0.6444,US Airways,,dosydoh,,0,"@USAirways If you believe in keeping your customers happy, especially after a mistake was made on your part...",,2015-02-17 12:08:29 -0800,,Pacific Time (US & Canada)
1359,569769708569767936,negative,1.0,longlines,0.6774,United,,eryder,,0,@united Now about two dozen back in line to see a single CSR for reFlight Booking Problems final leg. (Kiosks on fritz.),,2015-02-23 00:04:18 -0800,"Lexington, Ky",Eastern Time (US & Canada)
2650,568969371118391296,negative,1.0,Customer Service Issue,1.0,United,,leigh_emery,,0,@united I hope so but I've received no help so far. I've been on hold for more than an hour. Can someone speak to me?,,2015-02-20 19:04:03 -0800,"Hoboken, NJ",Eastern Time (US & Canada)
2303,569269140386488320,positive,1.0,,,United,,eotoro,,0,@united Kurt and the crew on UA1745 were amazing today. They made my son's birthday with their kindness. Hope to fly with them again soon!,,2015-02-21 14:55:14 -0800,"iPhone: 0.000000,0.000000",Central Time (US & Canada)
2489,569169897906941952,negative,1.0,Bad Flight,0.7027,United,,startupofme,,0,"@united really needs to start upgrading their planes. No TVs &amp; then the ""inflight wifi"" is currently unavailable #UnitedAirlines",,2015-02-21 08:20:52 -0800,New York,Eastern Time (US & Canada)
2785,568900980080709632,negative,0.6718,Can't Tell,0.3435,United,,johnwoodRTR,,0,@United @Skywest do it again!   I will now miss one or probably both our Aspen events. #Fail,"[37.78736562, -122.40865161]",2015-02-20 14:32:17 -0800,Hong Kong,Eastern Time (US & Canada)
3406,568462632719491072,negative,1.0,Customer Service Issue,0.6664,United,,PAIGER33,,2,"@united unfortunately, that doesn't help. Just an automated computer.",,2015-02-19 09:30:27 -0800,,Central Time (US & Canada)
1595,569650401085157376,negative,1.0,Late Flight,1.0,United,,CrowdSafetyNI,,0,@united is my flight delayed? It keeps changing between delayed and not??? If delayed is checkin time Late Flightr??? http://t.co/NTUIx5dbYR,,2015-02-22 16:10:13 -0800,Northern Ireland,London
12099,570291157340704769,positive,1.0,,,American,,mpresdenver,,0,@AmericanAir thanks so much!,,2015-02-24 10:36:22 -0800,"Denver, Colorado",Mountain Time (US & Canada)
11855,567727581873848320,negative,1.0,Cancelled Flight,1.0,US Airways,,laura_crom,,0,@USAirways I got up at 2 am for a 5 am flight from bos to Charlotte which I found was Cancelled Flightled once I got to the gate (1),,2015-02-17 08:49:38 -0800,boston,Quito
8913,567755768037130241,negative,1.0,Late Flight,1.0,Delta,,CaseyParksIt,,0,@JetBlue figured but delay is listed at almost 2 hrs. Thanks for being great! Cheers,,2015-02-17 10:41:38 -0800,Chicagoland,
12635,570080703171448832,neutral,1.0,,,American,,aprilteybrown,,0,@AmericanAir what about flight 1239?,,2015-02-23 20:40:05 -0800,"Washington, D.C.",Eastern Time (US & Canada)
10820,568847612503334912,neutral,0.6607,,,US Airways,,wclsc59,,0,@USAirways it's vegas baby who doesn't have a good time in vegas lol,,2015-02-20 11:00:14 -0800,johnson city tn,
12209,570263008762601475,neutral,0.6564,,,American,,RayonHarris,,0,@AmericanAir yes they do http://t.co/wCSAZZQPae,,2015-02-24 08:44:30 -0800,,Eastern Time (US & Canada)
9613,569824422279950336,negative,0.6699,Customer Service Issue,0.3411,US Airways,,earthXplorer,,1,@USAirways hello??? Anyone there?,,2015-02-23 03:41:43 -0800,"Miami, Fl. USA",Eastern Time (US & Canada)
3638,568215154569166848,positive,1.0,,,United,,RobandMeg,,0,"@united we had a wonderful flight attendant named Leah that was with us from lga to den, then den to anchorage!",,2015-02-18 17:07:04 -0800,"Staten Island, NY",Eastern Time (US & Canada)
6820,570232616755929088,positive,0.6768,,,Delta,,NBucketTV,,0,@JetBlue glad you like it. Feel free to steal it.,,2015-02-24 06:43:44 -0800,"Boston, MA",Eastern Time (US & Canada)
5286,569215035089690624,positive,0.7158,,0.0,Southwest,,ItsDTruth,,0,@SouthwestAir thanks so much just had to make a Cancelled Flightlation! I've sent u the info.,,2015-02-21 11:20:14 -0800,North Texas,Central Time (US & Canada)
11389,568152863962238976,positive,1.0,,,US Airways,,shhashhank,,0,@USAirways surprisingly quick response time by you and them. Thanks!,,2015-02-18 12:59:33 -0800,"Boston, MA | San Jose, CA",Arizona
1292,569849765711769600,negative,1.0,Lost Luggage,0.6472,United,,MikeShor,,0,"@United ""Your bag may or may not be at the airport. Unfortunately, no one at the airport is picking up the phone or responding to messages.""",,2015-02-23 05:22:26 -0800,"Coventry, Connecticut",Eastern Time (US & Canada)
11924,570297070998974464,positive,1.0,,,American,,rakugojon,,0,@AmericanAir got back eventually! Was a rollercoaster. Once I got to the airport &amp; got to speak to someone things got fixed very quick.,,2015-02-24 10:59:51 -0800,San Francisco,London
14412,569620123096494080,negative,1.0,Cancelled Flight,1.0,American,,TemlyLouise,,0,@AmericanAir my flight is Cancelled Flightled and we can only call in but you aren't accepting calls? How do I reschedule my flight?,,2015-02-22 14:09:55 -0800,,Quito
12123,570282469791911936,positive,0.6709999999999999,,,American,,mrespinosa1971,,0,@AmericanAir - keeping AA up in the Air! My crew chief cousin Alex Espinosa in DFW! http://t.co/0HXLNvZknP,,2015-02-24 10:01:50 -0800,Great State of Texas,Central Time (US & Canada)
1440,569716774431666176,negative,1.0,Late Flight,1.0,United,,JasonArbaugh,,0,@united UA1731 - Denver to Austin...  Still on the ground...,,2015-02-22 20:33:58 -0800,,
13396,569873418075672576,negative,1.0,Customer Service Issue,1.0,American,,ArturoVega67,,0,@AmericanAir your call system is a fucking joke,,2015-02-23 06:56:25 -0800,Texas Tech University USA,Central Time (US & Canada)
11321,568213843618299904,negative,1.0,Can't Tell,0.6804,US Airways,,ximplosionx,,0,@USAirways Not a great experience for my first time flying US Airways. Going forward I'll probably be taking my business elsewhere.,,2015-02-18 17:01:51 -0800,"Redmond, WA",Eastern Time (US & Canada)
4762,569865352986951680,neutral,1.0,,,Southwest,,stilvester,,0,"@SouthwestAir 
How do I get a companion pass??? Thanks,  Lin S",,2015-02-23 06:24:22 -0800,"Tipp City, Ohio  ",
10429,569313126342123520,negative,1.0,longlines,0.6556,US Airways,,iZoom23,,0,@USAirways Sitting in a cesspool of germs on the ground in #PHL for 2 hours now.,,2015-02-21 17:50:01 -0800,New York,Eastern Time (US & Canada)
9854,569638835539349504,neutral,1.0,,,US Airways,,mattsmith1868,,0,@USAirways what's going on in CLT?,,2015-02-22 15:24:16 -0800,SC,
9730,569691438784647168,neutral,1.0,,,US Airways,,EricYutzy,,0,@USAirways follow/dm please,,2015-02-22 18:53:18 -0800,,Indiana (East)
2269,569283956484415490,negative,1.0,Cancelled Flight,0.684,United,,lowenberg,,1,@united I can understand that but to not have another plane available when there is a full day till departure is unacceptable. Phoenix?,,2015-02-21 15:54:06 -0800,,
4206,567778009013178368,negative,1.0,Cancelled Flight,1.0,United,negative,realmikesmith,Cancelled Flight,0,@united So what do you offer now that my flight was Cancelled Flighted and I'm stranded away from home and work?,"[26.37852293, -81.78472152]",2015-02-17 12:10:00 -0800,Chicago,Eastern Time (US & Canada)
6681,567735667879575552,negative,1.0,Cancelled Flight,1.0,Southwest,,Masterpeacefull,,0,@SouthwestAir @challemann flying to LGA in the dead of winter? #jvstatus EWR &amp; JFK is always the intelligent option.,,2015-02-17 09:21:45 -0800,,Central Time (US & Canada)
10381,569341439148236800,neutral,0.6688,,0.0,US Airways,,GPachtinger,,0,@USAirways - My guess is what happened in #Vegas ended up in #Philly #Sexy http://t.co/qgMfCB7yT4,,2015-02-21 19:42:31 -0800,"Levittown, Pa",Eastern Time (US & Canada)
6335,568052354525696000,negative,0.6768,Flight Booking Problems,0.6768,Southwest,,DrewTuckerDPT,,0,@SouthwestAir when will you be accepting reservations past August 7?,,2015-02-18 06:20:09 -0800,"Memphis, TN",
9070,570251909447192577,negative,1.0,Lost Luggage,1.0,US Airways,,yorkshire2002,,1,@USAirways @Beamske how about a real live person talk to the person whose luggage was lost for 4 days and vacation wrecked . @yorkshire2002,,2015-02-24 08:00:24 -0800,Kentucky,Eastern Time (US & Canada)
8849,567801569157324800,neutral,0.6805,,0.0,Delta,,HAbbott4,,0,@JetBlue Does your home airport not count in the badge system? My TB account says 2 flights but I've taken 3 this year.,,2015-02-17 13:43:37 -0800,NY,Eastern Time (US & Canada)
3300,568541325735415808,negative,1.0,Flight Attendant Complaints,0.3537,United,,morrisls,,0,@united More concerned that you close a club I paid alot for at 10.  Last flight 11:15p.  The construction going on is very inconvenient.,,2015-02-19 14:43:09 -0800,,Quito
10421,569319324810235904,neutral,1.0,,,US Airways,,kelleynandrew,,0,"@USAirways well, depending on the policy will make the determination as to which airline is selected to travel.",,2015-02-21 18:14:39 -0800,,
12432,570189507447775234,negative,1.0,Customer Service Issue,1.0,American,,richardgru,,0,@AmericanAir Sorry that is a sad answer a fully refundable first fare and no response in 6 weeks ! No more AA in my future !,,2015-02-24 03:52:26 -0800,,
12583,570097604182351872,negative,0.6576,Can't Tell,0.3723,American,,Roope00,,0,@AmericanAir It's sad how I can't afford any long distance trips though. :/,,2015-02-23 21:47:15 -0800,WARNING: Explicit language,Helsinki
4882,569668913916567552,negative,1.0,Can't Tell,1.0,Southwest,,RameyZafar,,0,@SouthwestAir You've inspired me to start my own airline to combat your weak ass airline. sick of this shit,,2015-02-22 17:23:47 -0800,,Pacific Time (US & Canada)
182,569318651502989312,negative,0.6791,Cancelled Flight,0.6791,Virgin America,,meladorri,,0,@VirginAmerica Flight from BOS &gt; LAS tomorrow was Cancelled Flightled. No notification; wait times are 1+ hour. Will you rebook on another airline?,,2015-02-21 18:11:58 -0800,"Boston, MA",Central Time (US & Canada)
12668,570068466717237249,negative,0.6648,Bad Flight,0.345,American,,csw65,,0,@AmericanAir Best planes in the business. NOT? AA5411 today. http://t.co/I7Vdi9WqSF,,2015-02-23 19:51:28 -0800,Louisville KY ,Eastern Time (US & Canada)
9008,570288445156941824,neutral,0.6609999999999999,,0.0,US Airways,,alybullock,,0,@USAirways How do I get a receipt for a change fee when I originally booked with miles?,,2015-02-24 10:25:35 -0800,"Washington, DC",Eastern Time (US & Canada)
14473,569610485101768704,negative,0.6941,Flight Booking Problems,0.6941,American,,jmgscott,,0,"“@AmericanAir: @RussellsWriting Russ, please contact Reservations at 800-433-7300 for reFlight Booking Problems options.” Good luck with that!",,2015-02-22 13:31:37 -0800,"Dallas, TX",Central Time (US & Canada)
8062,568823603627565056,negative,1.0,Late Flight,1.0,Delta,,mishy_mish,,0,"@JetBlue I ❤️ Jetblue but i was on flt 277 from fll to sfo. tke off was over 1 hr Late Flight, div to phx &amp; got in 2 hrs Late Flight. What will be done?",,2015-02-20 09:24:49 -0800,"Fort Lauderdale, Fl",Eastern Time (US & Canada)
11264,568258093051727873,neutral,1.0,,,US Airways,,Gregg_Silver,,0,@USAirways just noticed that I don't believe I saw a confirmation for a flight I bought a few weeks ago. Def paid though. #help #resend?,,2015-02-18 19:57:41 -0800,,Quito
4462,570237762063831040,positive,0.6813,,0.0,Southwest,,PlatypusDBHunt,,0,@SouthwestAir thanks to Ella-Mae at LAS counter for going above and beyond to help us get back to ABQ after our flight was Cancelled Flightled!,,2015-02-24 07:04:11 -0800,"Albuquerque, NM",
10818,568852246462631936,negative,1.0,Customer Service Issue,1.0,US Airways,,goodtydings,,0,@USAirways I've tried calling 3 times the past 3 days and I keep getting told to call back. SOMEONE PLEASE HELP ME,,2015-02-20 11:18:38 -0800,this must be the place,Central Time (US & Canada)
13538,569838141273559040,negative,1.0,Lost Luggage,0.6715,American,,mjsorci,,0,"@AmericanAir you bet make this screw up right (for once). Things I need in bag for my job and you have ""grounded"" me today #painandsuffering",,2015-02-23 04:36:14 -0800,,
5537,568913346675613696,neutral,1.0,,,Southwest,,FuyukaiDesuYo,,0,@SouthwestAir PLEASE HELP! I would die to see the Vegas show! It would be amazing to hear their songs for real!,,2015-02-20 15:21:26 -0800,,
4109,567821133245067264,negative,0.6736,Customer Service Issue,0.3539,United,,CWWMUK,,0,"@united Now submitted for the third time, please check and confirm receipt. Have taken screen shots in case it disappears again. Thanks",,2015-02-17 15:01:22 -0800,North West of England,
14027,569676227981791232,negative,1.0,Customer Service Issue,1.0,American,,Active_Aly,,0,"@AmericanAir @CineDrones I just wish that a team member would pick up the phone at this point, let alone be courteous or helpful 😳","[25.8058675, -80.1260541]",2015-02-22 17:52:51 -0800,"London, England",Eastern Time (US & Canada)
4981,569586098772578304,negative,0.6822,Bad Flight,0.3485,Southwest,,TacoDangerous,,0,@SouthwestAir Boooo!!!!!!   Don't be like the other airlines!!  http://t.co/WHAGPknnLF,,2015-02-22 11:54:43 -0800,"Two Guns, Arizona",Central Time (US & Canada)
12734,570042700835082240,negative,1.0,Bad Flight,0.662,American,,louprice13,,0,@AmericanAir #customerservice. Sitting on my fourth plane today with a mechanical problem. No excuses for this. Tough to be loyal.,,2015-02-23 18:09:05 -0800,Chicago,
8075,568808746689933312,neutral,1.0,,,Delta,,meadonmanhattan,,0,@JetBlue trivia contest to win flight. 1 question. RT and Follow &amp; I'll send you answer to enter. http://t.co/AucSYKFUHD via @WSJPlus,,2015-02-20 08:25:47 -0800,"iPhone: 28.356075,-81.588827",Eastern Time (US & Canada)
9221,570054495943720960,neutral,1.0,,,US Airways,,EverettWJones,,0,@USAirways Expedia reserved a ticket for me and 2 more for a USAW flight but only issued 1. They are not responsive.Thoughts?,,2015-02-23 18:55:57 -0800,,Quito
6621,567754096272224256,neutral,0.6953,,,Southwest,,Michael_Stirrat,,0,@SouthwestAir Happily! But you need to follow me in order for me to DM you,,2015-02-17 10:34:59 -0800,"ÜT: 32.259172,-110.788252",Arizona
13083,569943700010172416,negative,0.7031,Can't Tell,0.7031,American,,CYancey74,,0,@AmericanAir @maxfitgirl29 next time fly Southwest...,,2015-02-23 11:35:41 -0800,,Central Time (US & Canada)
10093,569539560910282752,negative,1.0,Flight Booking Problems,0.703,US Airways,,sfoosness,,0,@USAirways No one answers your reservation phone line. I need to book travel with a  companion certificate. How do I get through?!!!,,2015-02-22 08:49:47 -0800,"Durham, NC",Atlantic Time (Canada)
11936,570292403309035520,neutral,1.0,,,American,,pbpinftworth,,0,@AmericanAir @pbpinftworth iPhone 6 64GB (not 6 plus),"[32.82813261, -97.25115941]",2015-02-24 10:41:19 -0800,"DFW, TX",Central Time (US & Canada)
6086,568267732556255232,neutral,0.7218,,0.0,Southwest,,podunculus,,0,@SouthwestAir any chance I can get tix for @VelourLive @Imaginedragons? I have been tweeting since January 26 about it #DestinationDragons,,2015-02-18 20:36:00 -0800,,
1035,569957053432639488,neutral,0.6821,,0.0,United,,FlyEIA,,0,Thanks @united. @imran_r44 had a question about the wait time for baggage on UA6366,,2015-02-23 12:28:45 -0800,Edmonton International Airport,Mountain Time (US & Canada)
4220,567767810655670272,negative,1.0,Flight Attendant Complaints,1.0,United,,DGomezPearlberg,,1,@united each flight is worse than last! flight attendants don't even know whether the plane is equipped with power outlets at the seats!,"[40.70773298, -74.17069948]",2015-02-17 11:29:29 -0800,NYC,Eastern Time (US & Canada)
3712,568176902801735680,negative,1.0,Can't Tell,0.7021,United,,frqnttraveler,,1,@united thanks I'll fill out the form that no one reads or responds to.,,2015-02-18 14:35:04 -0800,california,
4883,569668883147137024,neutral,0.7008,,0.0,Southwest,,lot223,,0,@SouthwestAir is service to Aruba being permanently discontinued in August?,,2015-02-22 17:23:40 -0800,,Central Time (US & Canada)
8031,568853588858023936,negative,0.7018,Late Flight,0.7018,Delta,,islandershf,,0,@JetBlue what is the reason for the delay,,2015-02-20 11:23:59 -0800,,Eastern Time (US & Canada)
14439,569616120866476032,neutral,0.6801,,0.0,American,,galen_emery,,0,@AmericanAir so how do we get me a person?,,2015-02-22 13:54:00 -0800,"Seattle, WA",Pacific Time (US & Canada)
2966,568813356296982528,negative,1.0,Customer Service Issue,1.0,United,,_mhertz,,0,@united customer service has no solution and now we might miss a show because of them,,2015-02-20 08:44:06 -0800,,Pacific Time (US & Canada)
2526,569130479690981376,negative,1.0,Customer Service Issue,0.6758,United,,DiqM,,0,"@united web app won't let me upgrade seats, call center wait time is 20 minutes plus, just want to get more legroom but it's a pita",,2015-02-21 05:44:14 -0800,here,Mountain Time (US & Canada)
